Zillow zpid,Street Address,City,Zip Code,State,Status,Neighborhood,Type,Number of Beds,Number of Bathrooms,price,Property Value Estimate,Property Rent Estimate,Days on Zillow,Time on Zillow,brokerageName,Date_Posted,Last Sold Price,Lot Size,Lot Area Value,lot Area Units,Year Built,CountyID,ThirtyYearFixedRate,ParcelID,countyFIPS
1698331,3022 Arthur St NE,Minneapolis,55418,MN,FOR_SALE,Waite Park,SINGLE_FAMILY,2 Bedrooms,1  Bathrooms,$270000,UNKNOWN,UNKNOWN,2 Days,2 days,BRIX Real Estate,2024-02-15,$245000,5227,5227.2,Square Feet,1930,2339,6.58,102924000000,27053
1805134,2322 McKinley St NE,Minneapolis,55418,MN,FOR_SALE,Windom Park,SINGLE_FAMILY,3 Bedrooms,2  Bathrooms,$475000,$483100,$2394,4 Days,4 days,eXp Realty,2024-02-13,$296000,5227,5227.2,Square Feet,1917,2339,6.58,1202920000000,27053
132479395,3641 10th Ave S,Minneapolis,55407,MN,FOR_SALE,Powderhorn Park,MULTI_FAMILY,4 Bedrooms,4  Bathrooms,$655000,UNKNOWN,UNKNOWN,0 Days,19 hours,Fish MLS Realty,2024-02-17,$367500,5662,5662.8,Square Feet,1927,2339,6.615,202824000000,27053
2057083583,2388 W Lake Of The Isles Pkwy,Minneapolis,55405,MN,FOR_SALE,Kenwood,SINGLE_FAMILY,4 Bedrooms,5  Bathrooms,$4599000,$4441500,$23614,243 Days,243 days,Coldwell Banker Realty,2023-06-19,UNKNOWN,12196,0.28,Acres,1922,2339,6.894,NULL,NULL
1718946,4238 Humboldt Ave N,Minneapolis,55412,MN,FOR_SALE,Webber-Camden,SINGLE_FAMILY,3 Bedrooms,2  Bathrooms,$260000,$266000,$2123,2 Days,2 days,Homefield Realty,2024-02-15,$144000,4791,4791.6,Square Feet,1923,2339,6.58,402924000000,27053
1727180,4101 Sheridan Ave N,Minneapolis,55412,MN,FOR_SALE,Victory,SINGLE_FAMILY,3 Bedrooms,2  Bathrooms,$255000,$260800,$1869,5 Days,5 days,REMAX Results,2024-02-12,$208500,5227,5227.2,Square Feet,1913,2339,6.58,502924000000,27053
1726322,3334 Ivy Ln,Minneapolis,55416,MN,FOR_SALE,West Calhoun,SINGLE_FAMILY,3 Bedrooms,3  Bathrooms,$600000,UNKNOWN,UNKNOWN,3 Days,3 days,"Edina Realty, Inc.",2024-02-14,$348400,3049,3049.2,Square Feet,1903,2339,6.615,502824000000,27053
1713010,3617 6th St N,Minneapolis,55412,MN,FOR_SALE,Mckinley,SINGLE_FAMILY,3 Bedrooms,2  Bathrooms,$156000,UNKNOWN,$2100,4 Days,4 days,Keller Williams Integrity Realty,2024-02-13,$181700,9583,9583.2,Square Feet,1930,2339,NULL,302924000000,27053
1977060,2924 32nd Ave S,Minneapolis,55406,MN,FOR_SALE,Longfellow,SINGLE_FAMILY,3 Bedrooms,2  Bathrooms,$364900,$354900,$2495,58 Days,58 days,"Bridge Realty, LLC",2023-12-21,$135000,6969,6969.6,Square Feet,1908,2339,6.58,3102920000000,27053
1850150,2107 Penn Ave N,Minneapolis,55411,MN,FOR_SALE,Willard Hay,SINGLE_FAMILY,3 Bedrooms,2  Bathrooms,$215000,$218000,$1949,2 Days,2 days,REMAX Results,2024-02-15,$32718,5662,5662.8,Square Feet,1907,2339,NULL,1702920000000,27053
1705650,3748 Elliot Ave,Minneapolis,55407,MN,FOR_SALE,Powderhorn Park,SINGLE_FAMILY,3 Bedrooms,1  Bathrooms,$310000,UNKNOWN,$1900,4 Days,4 days,Keller Williams Classic Rlty NW,2024-02-13,$134550,4791,4791.6,Square Feet,1910,2339,6.58,202824000000,27053
1696440,3323 Arthur St NE,Minneapolis,55418,MN,FOR_SALE,Waite Park,SINGLE_FAMILY,4 Bedrooms,3  Bathrooms,$400000,$408600,$2094,2 Days,2 days,eXp Realty,2024-02-15,UNKNOWN,8276,8276.4,Square Feet,1954,2339,6.58,102924000000,27053
1876376,1035 20th Ave SE,Minneapolis,55414,MN,FOR_SALE,Southeast Como,SINGLE_FAMILY,4 Bedrooms,1  Bathrooms,$229900,UNKNOWN,UNKNOWN,37 Days,37 days,REMAX Results,2024-01-11,$199900,5662,5662.8,Square Feet,1910,2339,NULL,1902920000000,27053
1840014,1826 Dupont Ave N,Minneapolis,55411,MN,FOR_SALE,Near North,SINGLE_FAMILY,3 Bedrooms,2  Bathrooms,$259900,$263000,$2199,9 Days,9 days,"Real Broker, LLC",2024-02-08,$112000,6969,6969.6,Square Feet,1914,2339,6.58,1602920000000,27053
1694460,3312 Longfellow Ave,Minneapolis,55407,MN,FOR_SALE,Corcoran,SINGLE_FAMILY,4 Bedrooms,1  Bathrooms,$349000,UNKNOWN,UNKNOWN,3 Days,3 days,Keller Williams Integrity Realty,2024-02-14,$231900,0,0.14,Square Feet,1912,2339,6.58,102824000000,27053
1898010,531 Newton Ave N,Minneapolis,55405,MN,FOR_SALE,Harrison,SINGLE_FAMILY,4 Bedrooms,2  Bathrooms,$309900,UNKNOWN,$2495,0 Days,11 hours,Hewitt Jackson Real Estate,2024-02-17,$150000,5227,5227.2,Square Feet,1927,2339,6.58,2102920000000,27053
2023267,2817 29th Ave S,Minneapolis,55406,MN,FOR_SALE,Longfellow,SINGLE_FAMILY,4 Bedrooms,2  Bathrooms,$319900,$326200,$2400,4 Days,4 days,Coldwell Banker Realty,2024-02-13,$188900,7405,7405.2,Square Feet,1903,2339,6.58,3602920000000,27053
1802938,2710 Brighton Ave NE,Minneapolis,55418,MN,FOR_SALE,Audubon Park,SINGLE_FAMILY,4 Bedrooms,3  Bathrooms,$450000,$461100,$2383,2 Days,2 days,Redfin Corporation,2024-02-15,$238200,4356,4356,Square Feet,1917,2339,6.58,1202920000000,27053
2016723,2107 Portland Ave,Minneapolis,55404,MN,FOR_SALE,Ventura Village,SINGLE_FAMILY,3 Bedrooms,2  Bathrooms,$172000,$167300,$2254,58 Days,58 days,City of Lakes Community Realty,2023-12-21,$120000,6098,6098.4,Square Feet,1900,2339,NULL,3502920000000,27053
1977152,2849 36th Ave S,Minneapolis,55406,MN,FOR_SALE,Longfellow,SINGLE_FAMILY,3 Bedrooms,2  Bathrooms,$300000,UNKNOWN,UNKNOWN,22 Days,22 days,REMAX Advantage Plus,2024-01-26,$117000,5227,5227.2,Square Feet,1910,2339,6.58,3102920000000,27053
1822535,432 Madison St NE,Minneapolis,55413,MN,FOR_SALE,Saint Anthony East,SINGLE_FAMILY,2 Bedrooms,2  Bathrooms,$300000,UNKNOWN,UNKNOWN,1 Days,1 day,Keller Williams Integrity Realty,2024-02-16,$251000,2613,2613.6,Square Feet,1900,2339,6.58,1402920000000,27053
1763609,2938 Queen Ave N,Minneapolis,55411,MN,FOR_SALE,Jordan,SINGLE_FAMILY,3 Bedrooms,1  Bathrooms,$230000,$233200,$1818,1 Days,1 day,Lakes Sotheby's International Realty,2024-02-16,$194000,5227,5227.2,Square Feet,1951,2339,NULL,802924000000,27053
1991742,2617 Dean Pkwy,Minneapolis,55416,MN,FOR_SALE,Cedar-Isles-Dean,SINGLE_FAMILY,4 Bedrooms,5  Bathrooms,$2395000,$2419500,$12424,2 Days,2 days,Coldwell Banker Realty,2024-02-15,UNKNOWN,20037,0.46,Acres,1916,2339,6.894,3202920000000,27053
2017643,2628 13th Ave S,Minneapolis,55407,MN,FOR_SALE,Midtown Phillips,SINGLE_FAMILY,4 Bedrooms,2  Bathrooms,$289000,$293300,$3194,2 Days,2 days,eXp Realty,2024-02-15,$150000,3920,3920.4,Square Feet,1900,2339,6.58,3502920000000,27053
1959697,248 Thomas Ave S,Minneapolis,55405,MN,FOR_SALE,Bryn Mawr,SINGLE_FAMILY,3 Bedrooms,2  Bathrooms,$575000,$579100,$2149,1 Days,1 day,REMAX Results,2024-02-16,$386000,5227,5227.2,Square Feet,1916,2339,6.615,2902920000000,27053
2023289,2833 28th Ave S,Minneapolis,55406,MN,FOR_SALE,Longfellow,SINGLE_FAMILY,3 Bedrooms,3  Bathrooms,$399000,UNKNOWN,UNKNOWN,1 Days,1 day,Keller Williams Classic Rlty NW,2024-02-16,$320000,7405,7405.2,Square Feet,1900,2339,6.58,3602920000000,27053
1991227,2700 Sunset Blvd,Minneapolis,55416,MN,FOR_SALE,Cedar-Isles-Dean,SINGLE_FAMILY,4 Bedrooms,4  Bathrooms,$995000,UNKNOWN,UNKNOWN,2 Days,2 days,"Edina Realty, Inc.",2024-02-15,$707500,6534,6534,Square Feet,1997,2339,6.894,3202920000000,27053
2016370,2540 15th Ave S,Minneapolis,55404,MN,FOR_SALE,Midtown Phillips,SINGLE_FAMILY,4 Bedrooms,4  Bathrooms,$399900,$398800,$3251,1 Days,1 day,Redfin Corporation,2024-02-16,$174000,5227,5227.2,Square Feet,2003,2339,6.58,3502920000000,27053
1774403,2630 Morgan Ave N,Minneapolis,55411,MN,FOR_SALE,Jordan,SINGLE_FAMILY,3 Bedrooms,2  Bathrooms,$140000,UNKNOWN,UNKNOWN,1 Days,1 day,REMAX Results,2024-02-16,$129900,5227,5227.2,Square Feet,1929,2339,NULL,902924000000,27053
1773383,3447 Oliver Ave N,Minneapolis,55412,MN,FOR_SALE,Folwell,SINGLE_FAMILY,3 Bedrooms,2  Bathrooms,$229900,$112000,$1792,1 Days,1 day,eXp Realty,2024-02-16,$112500,3920,3920.4,Square Feet,1912,2339,NULL,902924000000,27053
1959969,415 Sheridan Ave S,Minneapolis,55405,MN,FOR_SALE,Bryn Mawr,SINGLE_FAMILY,3 Bedrooms,2  Bathrooms,$475000,$459300,$2244,94 Days,94 days,Keller Williams Realty Integrity-Edina,2023-11-15,$350000,8712,8712,Square Feet,1978,2339,6.58,2902920000000,27053
1991181,2844 Sunset Blvd,Minneapolis,55416,MN,FOR_SALE,Cedar-Isles-Dean,SINGLE_FAMILY,5 Bedrooms,3  Bathrooms,$729000,UNKNOWN,$3931,4 Days,4 days,Keller Williams Integrity Realty,2024-02-13,$213750,7405,7405.2,Square Feet,1948,2339,6.615,3202920000000,27053
1850158,2130 Queen Ave N,Minneapolis,55411,MN,FOR_SALE,Willard Hay,SINGLE_FAMILY,4 Bedrooms,2  Bathrooms,$120000,UNKNOWN,UNKNOWN,1 Days,1 day,REMAX Results,2024-02-16,$152000,5662,5662.8,Square Feet,1900,2339,NULL,1702920000000,27053
1718110,3532 Humboldt Ave S,Minneapolis,55408,MN,FOR_SALE,East Calhoun,MULTI_FAMILY,4 Bedrooms,2  Bathrooms,$549900,$581800,$1695,8 Days,8 days,Coldwell Banker Realty,2024-02-09,$212500,5227,5227.2,Square Feet,1925,2339,6.58,402824000000,27053
54622693,1790 Girard Ave S,Minneapolis,55403,MN,FOR_SALE,Lowry Hill,MULTI_FAMILY,3 Bedrooms,3  Bathrooms,$575000,UNKNOWN,UNKNOWN,8 Days,8 days,Keller Williams Integrity Realty,2024-02-09,$485000,10018,10018.8,Square Feet,1959,2339,6.615,2802920000000,27053
1726376,3501 Zenith Ave S,Minneapolis,55416,MN,FOR_SALE,West Calhoun,SINGLE_FAMILY,4 Bedrooms,4  Bathrooms,$3275000,$3286300,$8093,5 Days,5 days,Lakes Sotheby's International Realty,2024-02-12,$1110000,27442,0.63,Acres,1929,2339,6.894,502824000000,27053
